,Anyang,Hebi,Zhoukou,Zhumadian,Handan,Jincheng,Yuncheng,Jiyuan,Kaifeng,Sanmenxia,Shangqiu,Bengbu,Huaibei,Suzhou,Heze,Liaocheng,Jiaozuo,Luoyang,Nanyang,Pingdingshan,Xinyang,Xuchang,Zhengzhou,Bozhou,Xingtai,Changzhi,Puyang,Xinxiang,Fuyang
2000,,,,,12.6905,,,,1.75,4.72943,1.10775,,,,0.46519,,,10.3665,2.31672,13.3369,,,5.52949,,,,,,
2001,8.1236,,,,14.0457,,,12.5503,,5.04663,,,7.76362,,0.68732,,,11.2182,2.38126,12.0355,,,5.58475,,,,,,
2002,,,1.35365,,15.5515,,,13.6028,,4.98369,,,8.60083,,1.63298,,,11.4498,2.47249,12.0908,,,5.65743,,,,,,
2003,8.46166,,0.73861,,16.4615,9.22407,,16.7581,1.66228,5.66067,,,,,1.44919,,,12.9509,3.53075,9.50963,,,6.17812,,,,,,
2004,9.53936,6.12145,,,12.9849,12.9396,,,,6.63239,5.89333,,10.5985,,1.53668,,4.81855,15.0443,2.9875,15.9216,,,7.3699,,,27.2115,4.81855,,
2005,,,1.76295,,12.7523,14.3109,,23.9876,,6.99522,,1.10071,,,2.83844,,,15.0482,3.11808,14.6831,,9.24117,7.90423,,,31.4507,,,
2006,,17.6744,1.37986,,13.932,31.833,18.8972,28.1123,2.30316,9.38673,6.7022,,12.2397,,3.47258,4.47192,,17.2839,3.25619,16.474,2.62352,10.3708,8.32393,0.45289,,,,,
2007,16.1066,20.9996,1.564,2.19331,13.9961,34.0655,15.1032,30.7736,2.64609,11.5677,5.22467,,13.5491,2.23703,3.75129,5.16336,,18.4149,,27.8066,,9.95245,9.08887,0.73841,15.6117,39.3936,,4.93815,
2008,16.1249,26.7966,1.45676,2.63392,13.4133,30.4191,17.747,31.1231,2.02489,11.731,7.95476,1.90113,15.4638,2.72581,3.88535,6.58106,,17.7762,,28.3135,3.16703,,8.50978,0.89973,14.7865,35.3141,,5.10033,1.64994
2009,17.3668,28.7643,1.5995,2.52468,13.1308,34.3319,19.1105,36.69,3.24214,11.1053,,3.2956,22.79,2.54747,4.0858,6.18696,4.5467,17.8654,,31.883,4.13377,11.3022,8.45846,0.96365,15.965,39.7975,4.5467,4.77435,1.25392
2010,,24.4853,1.44769,2.49818,12.7175,22.6918,14.9493,37.4103,2.96826,10.7245,9.49,3.27763,25.0698,3.28091,4.60813,,4.63249,18.4078,4.01278,34.8011,3.68438,10.5281,8.00074,0.98857,15.7003,40.0364,4.63249,4.93815,1.04578
2011,14.705,25.9172,1.50169,3.54988,16.1586,33.9821,,,3.61646,12.0519,,3.69503,29.7674,3.56298,5.53182,,5.28978,19.9344,3.57322,38.5798,3.4736,18.2834,8.59855,1.10024,17.0456,48.4416,5.28978,5.2518,
2012,14.4561,24.4696,,2.68902,16.1562,,16.4607,41.2272,2.99439,11.402,,3.44114,33.7384,4.28884,5.59128,,5.1051,19.4269,3.55878,37.7296,3.48996,,8.93868,1.45248,16.5054,51.333,5.1051,5.53557,1.63905
2013,17.2663,25.4212,0.86668,3.91209,16.3767,36.4909,15.1912,44.1512,3.10519,12.6716,,3.59231,33.5887,4.84304,8.62893,,4.87821,18.8032,3.79519,37.0588,3.2541,12.2251,9.40585,1.89035,16.033,55.4212,4.87821,5.16395,1.61193
2014,23.9107,17.2574,0.81296,4.07049,18.5085,62.743,11.857,44.2472,3.21416,11.6545,,3.63507,32.435,6.55904,9.82129,,4.24689,17.9636,3.75888,34.1877,3.4835,,9.2665,2.14816,17.848,72.0465,4.24689,5.83291,1.51317
2015,20.7133,21.942,0.80354,3.37006,17.6534,56.654,16.7838,47.6556,,11.6623,,3.7048,33.8293,5.97456,,13.5244,4.69331,14.8896,2.61867,30.351,3.10057,,6.6721,1.52764,12.2163,67.5022,4.69331,6.8117,1.4727
