,Province,City,Category,year,coal,oil,gas,process
,河南,Anyang,1,2000,,,,
0,河南,Anyang,1,2001,40.6,0.5,0.45,0.85
,河南,Anyang,1,2002,,,,
1,河南,Anyang,1,2003,42.9,0.48,0.6,0.78
2,河南,Anyang,1,2004,48.82,0.68,0.66,0.51
,河南,Anyang,1,2005,,,,
,河南,Anyang,1,2006,,,,
3,河南,Anyang,1,2007,83.47,0.82,0.63,1.97
4,河南,Anyang,1,2008,82.92,1.11,0.53,2.84
5,河南,Anyang,1,2009,89.39,1.11,0.29,3.79
,河南,Anyang,1,2010,,,,
6,河南,Anyang,1,2011,81.85,1.58,0.46,0.11
7,河南,Anyang,1,2012,76.32,1.79,0.54,4.3
8,河南,Anyang,1,2013,92.94,2.1,0.39,4.11
9,河南,Anyang,1,2014,99.92,1.66,0.69,3.89
10,河南,Anyang,1,2015,87.32,1.8,0.17,3.08
,河南,Hebi,1,2000,,,,
,河南,Hebi,1,2001,,,,
,河南,Hebi,1,2002,,,,
,河南,Hebi,1,2003,,,,
11,河南,Hebi,1,2004,6.97,0.8,0.02,0.97
,河南,Hebi,1,2005,,,,
12,河南,Hebi,1,2006,24.09,0.48,0.03,0.93
13,河南,Hebi,1,2007,28.33,0.57,0.03,1.54
14,河南,Hebi,1,2008,36.86,0.68,0.01,1.51
15,河南,Hebi,1,2009,39.92,0.51,0.02,1.68
16,河南,Hebi,1,2010,37.06,0.56,0.04,1.15
17,河南,Hebi,1,2011,39.4,0.55,0.06,1.3
18,河南,Hebi,1,2012,37.29,0.5,0.05,1.37
19,河南,Hebi,1,2013,38.94,0.5,0.06,1.47
20,河南,Hebi,1,2014,24.77,0.9,0.41,1.49
21,河南,Hebi,1,2015,33.14,0.82,0.11,1.69
,河南,Zhoukou,1,2000,,,,
,河南,Zhoukou,1,2001,,,,
179,河南,Zhoukou,1,2002,13.52,0.72,0.03,0
180,河南,Zhoukou,1,2003,7.3,0.5,0.03,0
,河南,Zhoukou,1,2004,,,,
181,河南,Zhoukou,1,2005,16.64,0.83,0.06,0
182,河南,Zhoukou,1,2006,12.87,0.84,0.01,0
183,河南,Zhoukou,1,2007,13.68,0.98,0.09,0.73
184,河南,Zhoukou,1,2008,12.56,1.18,0.05,0.73
185,河南,Zhoukou,1,2009,14.49,0.97,0.07,0.53
186,河南,Zhoukou,1,2010,10.87,1.32,0.11,0.66
187,河南,Zhoukou,1,2011,10.94,1.51,0.2,0.79
188,河南,Zhoukou,1,2013,4.72,2.05,0.23,0.61
189,河南,Zhoukou,1,2014,4.25,2.04,0.29,0.58
190,河南,Zhoukou,1,2015,3.78,2.39,0.38,0.52
,河南,Zhumadian,1,2000,,,,
,河南,Zhumadian,1,2001,,,,
,河南,Zhumadian,1,2002,,,,
,河南,Zhumadian,1,2003,,,,
,河南,Zhumadian,1,2004,,,,
,河南,Zhumadian,1,2005,,,,
,河南,Zhumadian,1,2006,,,,
191,河南,Zhumadian,1,2007,16.42,0.91,0.08,1.06
192,河南,Zhumadian,1,2008,18.84,1.17,0.67,1.63
193,河南,Zhumadian,1,2009,17.36,1.25,1.48,1.44
194,河南,Zhumadian,1,2010,14.08,1.57,1.37,1.03
195,河南,Zhumadian,1,2011,19.46,1.79,2.07,1.83
196,河南,Zhumadian,1,2012,12.2,2.36,2.08,2.02
